admin@cnam.fr;admin;admin
john2@cnam.fr;pass;particulier
john@cnam.fr;pass;particulier
henry@cnam.fr;pass;particulier
jean@cnam.fr;pass;particulier
mike@cnam.fr;pass;particulier
rene@cnam.fr;pass;particulier
admin2@cnam.fr;admin2;admin
henry2@cnam.fr;pass;particulier
jean2@cnam.fr;pass;particulier
mike2@cnam.fr;pass;particulier
rene2@cnam.fr;pass;particulier
john3@cnam.fr;pass;particulier
henry3@cnam.fr;pass;particulier
jean3@cnam.fr;pass;particulier
mike3@cnam.fr;pass;particulier
rene4@cnam.fr;pass;particulier
john5@cnam.fr;pass;particulier
henry5@cnam.fr;pass;particulier
jean5@cnam.fr;pass;particulier
mike5@cnam.fr;pass;particulier
rene5@cnam.fr;pass;particulier
john6@cnam.fr;pass;particulier
henrythierry@cnam.fr;pass;particulier
zizou@cnam.fr;pass;particulier
manupetit@cnam.fr;pass;particulier
admin3@cnam.fr;admin;admin
fabien@cnam.fr;pass;particulier
admin36@cnam.fr;admin;admin
admin50@cnam.fr;admin;admin
admin24@cnam.fr;admin;admin
testfinal2@cnam.fr;pass;particulier
